id,student_id,date,roll,status,department,semester,subject
85,85,12/31/2018,85,Fuscia,Product Management,Nurse,Polytrichaceae
86,86,12/9/2018,86,Red,Business Development,Health Coach IV,Cucurbitaceae
87,87,1/19/2019,87,Pink,Support,Staff Scientist,Hydrophyllaceae
88,88,10/26/2018,88,Khaki,Services,Automation Specialist III,Cyperaceae
89,89,3/13/2019,89,Purple,Marketing,Speech Pathologist,Portulacaceae
90,90,7/29/2018,90,Teal,Business Development,Media Manager I,Uncertain Ascomycota Family
91,91,1/22/2019,91,Fuscia,Support,Environmental Specialist,Commelinaceae
92,92,12/27/2018,92,Violet,Services,Sales Associate,Rubiaceae
93,93,6/26/2019,93,Mauv,Human Resources,Statistician II,Brassicaceae
94,94,8/30/2018,94,Orange,Support,Environmental Tech,Orchidaceae
95,95,5/6/2019,95,Pink,Human Resources,Professor,Caryophyllaceae
96,96,6/12/2019,96,Yellow,Support,Librarian,Brassicaceae
97,97,1/16/2019,97,Red,Marketing,Biostatistician IV,Caprifoliaceae
98,98,7/21/2018,98,Green,Business Development,Web Developer III,Anthocerotaceae
99,99,8/24/2018,99,Turquoise,Legal,Tax Accountant,Pinaceae
100,100,4/30/2019,100,Mauv,Business Development,Information Systems Manager,Cladoniaceae
